p3d_arcsphere-view0_part6;4140;2200;1780;2500;2620;3420;2640;3660;5160;4640;3280;4420;5940;7240;7120;7340;
p3d_bathroom-view0_part6;10000;10000;10000;10000;10000;10000;10000;10000;10000;540;2920;10000;10000;10000;8920;4980;
p3d_bedroom-view0_part6;8460;6640;7740;7460;5880;6220;9180;7940;6640;4780;7800;6940;10000;9460;4940;5880;
p3d_bedroom-view1_part6;6960;8020;5960;7700;4020;3580;4900;7240;4240;4960;4820;6820;6880;7240;5000;8360;
p3d_bidir-view0_part6;5580;4700;4900;3280;7760;5480;5080;3640;200;6620;3980;6620;10000;7360;4120;5000;
p3d_bmw-m6-view0_part6;3520;5480;5440;5480;3280;4040;2540;1420;4280;3860;3160;2600;10000;10000;10000;8260;
p3d_bunny-fur-view0_part6;7280;5580;5000;4460;5640;5160;4660;3680;6520;3420;4600;3560;4940;4240;4060;4500;
p3d_car2-view0_part6;2520;1600;3560;2100;1460;2460;3460;3260;820;360;3400;1740;3020;2300;3800;2640;
p3d_caustic-view0_part6;4740;4420;7240;5380;1340;5860;5140;5680;7100;5160;8780;7880;7300;8140;7580;7440;
p3d_chopper-titan-view0_part6;4900;4800;4840;5880;4180;1220;2480;2100;2660;2600;2560;3480;10000;10000;10000;10000;
p3d_classroom-view0_part6;10000;5620;10000;10000;6740;10000;10000;10000;4600;5800;7140;6780;5000;3900;5900;6320;
p3d_classroom-view1_part6;10000;10000;10000;10000;7160;4660;6600;10000;4260;4380;6560;10000;7420;6940;8620;9260;
p3d_coffee-splash-view0_part6;7280;4400;4120;5160;8300;5280;5120;4820;6140;6200;6080;5080;7180;6440;6900;7100;
p3d_contemporary-bathroom-view0_part6;5860;10000;10000;10000;2340;9900;9420;10000;5300;8580;7740;10000;9520;5200;3740;7240;
p3d_contemporary-bathroom-view1_part6;3160;10000;10000;10000;3180;10000;10000;9680;2740;7600;6880;7980;10000;10000;5580;5840;
p3d_cornel-box-view0_part6;8880;8700;7080;7220;7700;7320;6520;7880;8000;9440;4740;6540;8780;10000;6360;5960;
p3d_crown-view0_part6;1780;6020;5020;3280;4280;5280;6260;7320;8040;4960;4300;7940;7940;8240;8180;7740;
p3d_dining-room-view0_part6;4160;4500;1860;1720;1940;1040;1500;1360;2080;1580;1520;4520;1520;3260;8720;8040;
p3d_dining-room-view1_part6;2080;2720;3240;2340;1760;940;1020;2560;1120;1740;1640;2080;2760;2180;1820;1460;
p3d_dragon-view0_part6;1700;420;800;1000;400;580;1040;560;460;1000;1300;960;9580;2480;1840;9500;
p3d_dragon_250-view0_part6;2560;3280;2480;2100;1940;2780;2180;2720;2260;2720;3160;1340;2840;2360;2620;2840;
p3d_echecs-view0_part6;320;200;200;200;200;200;200;200;200;200;200;200;760;200;3880;200;
p3d_echecs-view1_part6;200;260;380;300;240;200;300;220;220;1360;380;420;3140;1880;200;200;
p3d_echecs-view2_part6;240;520;200;200;200;200;200;200;640;220;200;200;5500;860;560;1040;
p3d_ecosys-view0_part6;360;560;720;200;700;740;1060;580;840;1220;880;760;1260;900;1120;1100;
p3d_eponge-fractal-5-view0_part6;320;940;620;200;1780;840;900;1700;5740;780;1200;2040;4660;1880;1940;4180;
p3d_eponge-fractal-5-view1_part6;5360;6020;6360;4280;4460;6160;5120;4220;3980;5720;5460;3620;4400;5580;6280;3340;
